1,95,吉,大展鸿图，信用得固，名利双收，可获成功,,做事喜好凭直觉型,有特强的第六灵感，性格率直无机心，深得朋辈爱戴。感情路上多采多姿。做事喜好凭个人直觉及预感做决定。
2,55,凶,根基不固，摇摇欲坠，一盛一衰，劳而无获,,独断独行/吸引人型,为人独断独行，事事自行作主解决，鲜有求助他人。而这份独立个性，正正就是吸引异性的特质。但其实心底里，却是渴望有人可让他/她依赖。
3,90,吉,根深蒂固，蒸蒸日上，如意吉祥，百事顺遂,官,热情/善变梦想家型,对人热情无遮掩，时常梦想可以谈一场戏剧性恋爱，亲身体会个中悲欢离合的动人经历，是个大梦想家。但对于感情却易变卦。
4,60,凶,前途坎坷，苦难折磨，非有毅力，难望成功,,自我牺牲/性格被动型,惯于无条件付出，从不祈求有回报，有为了成全他人不惜牺牲自己的情操。但讲到本身的爱情观，却流于被动，往往因为内敛而错过大好姻缘。
5,95,吉,阴阳和合，生意兴隆，名利双收，后福重重,,要面包不要爱情型,责任心重，尤其对工作充满热诚，是个彻头彻尾工作狂。但往往因为过分专注职务，而忽略身边的家人及朋友，是个宁要面包不需要爱情的理性主义者。
6,95,吉,万宝集门，天降幸运，立志奋发，得成大功,,不善表达/疑心大型,在乎身边各人对自己的评价及观感，不善表达个人情感，是个先考虑别人感受，再作出相应配合的内敛一族。对于爱侣，经常存有怀疑之心。
7,90,吉,独营生意，和气吉祥，排除万难，必获成功,,大胆行事冲动派型,爱好追寻刺激，有不理后果大胆行事的倾向。崇尚自由奔放的恋爱，会拼尽全力爱一场，是就算明知无结果都在所不惜的冲动派。
8,85,吉,努力发达，贯彻志望，不忘进退，可望成功,,高度戒备难交心型,经常处于戒备状态，对任何事都没法放松处理，孤僻性情难以交朋结友。对于爱情，就更加会慎重处理。任何人必须经过你长期观察及通过连番考验，方会减除戒备与你交往。
9,55,凶,虽抱奇才，有才无命，独营无力，财力难望,,好奇心旺求知欲强型,好奇心极度旺盛，求知欲又强，有打烂沙盘问到笃的锲而不舍精神。此外，你天生有语言天分，学习外文比一般人更易掌握。
10,50,凶,乌云遮月，暗淡无光，空费心力，徒劳无功,,做事喜好凭直觉型,有特强的第六灵感，性格率直无机心，深得朋辈爱戴。感情路上多采多姿。做事喜好凭个人直觉及预感做决定。
11,85,吉,草木逢春，枝叶沾露，稳健着实，必得人望,,独断独行/吸引人型,为人独断独行，事事自行作主解决，鲜有求助他人。而这份独立个性，正正就是吸引异性的特质。但其实心底里，却是渴望有人可让他/她依赖。
12,50,凶,薄弱无力，孤立无援，外祥内苦，谋事难成,,热情/善变梦想家型,对人热情无遮掩，时常梦想可以谈一场戏剧性恋爱，亲身体会个中悲欢离合的动人经历，是个大梦想家。但对于感情却易变卦。
13,95,吉,天赋吉运，能得人望，善用智慧，必获成功,官艺,自我牺牲/性格被动型,惯于无条件付出，从不祈求有回报，有为了成全他人不惜牺牲自己的情操。但讲到本身的爱情观，却流于被动，往往因为内敛而错过大好姻缘。
